correctionTimer ; 198.694 ; 3.67952 ; setSolutionTimer ; 6.76039 ; 0.125192 ; cycleWatch ; 11445.9 ; 1271.77 ; setupWatch ; 36.1297 ; 36.1297 ; restrictionTimer ; 218.976 ; 4.05511 ; preSmoothTimer ; 5047.14 ; 93.4656 ; upResidualTimer ; 492.437 ; 9.11921 ; postSmoothTimer ; 5034.5 ; 93.2316 ; commTimer ; 1424.1 ; 2.17752 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.657 ; 3.67884 ; setSolutionTimer ; 6.69455 ; 0.123973 ; cycleWatch ; 11445.3 ; 1271.7 ; setupWatch ; 36.1215 ; 36.1215 ; restrictionTimer ; 219.191 ; 4.0591 ; preSmoothTimer ; 5047.47 ; 93.4718 ; upResidualTimer ; 492 ; 9.11112 ; postSmoothTimer ; 5032.76 ; 93.1993 ; commTimer ; 1431.79 ; 2.18928 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.74 ; 3.68037 ; setSolutionTimer ; 7.10193 ; 0.131517 ; cycleWatch ; 11438.9 ; 1270.99 ; setupWatch ; 36.0881 ; 36.0881 ; restrictionTimer ; 216.791 ; 4.01465 ; preSmoothTimer ; 5050.22 ; 93.5226 ; upResidualTimer ; 491.169 ; 9.09571 ; postSmoothTimer ; 5029.81 ; 93.1446 ; commTimer ; 1403.41 ; 2.14589 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.53 ; 3.67648 ; setSolutionTimer ; 6.74405 ; 0.12489 ; cycleWatch ; 11429.1 ; 1269.9 ; setupWatch ; 36.0985 ; 36.0985 ; restrictionTimer ; 229.626 ; 4.25234 ; preSmoothTimer ; 5045.18 ; 93.4292 ; upResidualTimer ; 483.738 ; 8.95811 ; postSmoothTimer ; 5027.27 ; 93.0976 ; commTimer ; 1398.9 ; 2.13899 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.834 ; 3.68212 ; setSolutionTimer ; 6.73114 ; 0.124651 ; cycleWatch ; 11440.3 ; 1271.15 ; setupWatch ; 36.0935 ; 36.0935 ; restrictionTimer ; 222.048 ; 4.11199 ; preSmoothTimer ; 5041.25 ; 93.3565 ; upResidualTimer ; 495.304 ; 9.1723 ; postSmoothTimer ; 5027.24 ; 93.0971 ; commTimer ; 1437.04 ; 2.1973 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.606 ; 3.67789 ; setSolutionTimer ; 6.66295 ; 0.123388 ; cycleWatch ; 11437.8 ; 1270.86 ; setupWatch ; 36.157 ; 36.157 ; restrictionTimer ; 212.679 ; 3.9385 ; preSmoothTimer ; 5057.22 ; 93.6522 ; upResidualTimer ; 488.619 ; 9.04851 ; postSmoothTimer ; 5021.69 ; 92.9943 ; commTimer ; 1513.32 ; 2.31394 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.642 ; 3.67856 ; setSolutionTimer ; 6.69381 ; 0.123959 ; cycleWatch ; 11414.1 ; 1268.23 ; setupWatch ; 36.1713 ; 36.1713 ; restrictionTimer ; 213.764 ; 3.95859 ; preSmoothTimer ; 5064.74 ; 93.7915 ; upResidualTimer ; 479.872 ; 8.88651 ; postSmoothTimer ; 5011.81 ; 92.8113 ; commTimer ; 1450.66 ; 2.21813 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 198.522 ; 3.67633 ; setSolutionTimer ; 7.41604 ; 0.137334 ; cycleWatch ; 11400.4 ; 1266.71 ; setupWatch ; 36.1523 ; 36.1523 ; restrictionTimer ; 215.02 ; 3.98186 ; preSmoothTimer ; 5073.01 ; 93.9447 ; upResidualTimer ; 469.552 ; 8.6954 ; postSmoothTimer ; 5007.67 ; 92.7346 ; commTimer ; 1409.55 ; 2.15527 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 189.343 ; 3.50635 ; setSolutionTimer ; 7.52155 ; 0.139288 ; cycleWatch ; 11388.4 ; 1265.38 ; setupWatch ; 36.1839 ; 36.1839 ; restrictionTimer ; 193.347 ; 3.58049 ; preSmoothTimer ; 5067.41 ; 93.841 ; upResidualTimer ; 496.555 ; 9.19546 ; postSmoothTimer ; 4986.06 ; 92.3345 ; commTimer ; 1585.65 ; 2.42454 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 189.065 ; 3.50119 ; setSolutionTimer ; 6.77441 ; 0.125452 ; cycleWatch ; 11340.5 ; 1260.05 ; setupWatch ; 36.0866 ; 36.0866 ; restrictionTimer ; 222.638 ; 4.12293 ; preSmoothTimer ; 5101.69 ; 94.4757 ; upResidualTimer ; 433.937 ; 8.03588 ; postSmoothTimer ; 4991.39 ; 92.4331 ; commTimer ; 1444.56 ; 2.2088 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
