correctionTimer ; 239.578 ; 2.85211 ; setSolutionTimer ; 18.8466 ; 0.224364 ; cycleWatch ; 18206 ; 1300.43 ; setupWatch ; 136.426 ; 136.426 ; restrictionTimer ; 1131.62 ; 13.4717 ; preSmoothTimer ; 3999.01 ; 47.6073 ; upResidualTimer ; 2130.47 ; 25.3627 ; postSmoothTimer ; 4006.06 ; 47.6912 ; commTimer ; 13567.6 ; 14.342 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 240.755 ; 2.86614 ; setSolutionTimer ; 18.6339 ; 0.221832 ; cycleWatch ; 18188.8 ; 1299.2 ; setupWatch ; 131.776 ; 131.776 ; restrictionTimer ; 1166.53 ; 13.8873 ; preSmoothTimer ; 3987.26 ; 47.4673 ; upResidualTimer ; 2110.21 ; 25.1216 ; postSmoothTimer ; 3979.43 ; 47.3741 ; commTimer ; 13533.9 ; 14.3065 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 238.975 ; 2.84494 ; setSolutionTimer ; 16.5155 ; 0.196613 ; cycleWatch ; 18193.3 ; 1299.52 ; setupWatch ; 131.237 ; 131.237 ; restrictionTimer ; 1155.86 ; 13.7602 ; preSmoothTimer ; 4019.2 ; 47.8476 ; upResidualTimer ; 2085.51 ; 24.8275 ; postSmoothTimer ; 3991.95 ; 47.5232 ; commTimer ; 13541.9 ; 14.3149 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 240.218 ; 2.85974 ; setSolutionTimer ; 18.1547 ; 0.216128 ; cycleWatch ; 18210.6 ; 1300.75 ; setupWatch ; 134.69 ; 134.69 ; restrictionTimer ; 1158.13 ; 13.7872 ; preSmoothTimer ; 4053.99 ; 48.2618 ; upResidualTimer ; 2058.53 ; 24.5064 ; postSmoothTimer ; 3993.2 ; 47.5381 ; commTimer ; 13559.1 ; 14.3331 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 238.289 ; 2.83677 ; setSolutionTimer ; 15.8749 ; 0.188987 ; cycleWatch ; 18201.4 ; 1300.1 ; setupWatch ; 125.359 ; 125.359 ; restrictionTimer ; 1159.68 ; 13.8057 ; preSmoothTimer ; 4000.94 ; 47.6303 ; upResidualTimer ; 2106.54 ; 25.0779 ; postSmoothTimer ; 3989.66 ; 47.4959 ; commTimer ; 13614.5 ; 14.3916 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 237.986 ; 2.83317 ; setSolutionTimer ; 16.7127 ; 0.198961 ; cycleWatch ; 18180.8 ; 1298.63 ; setupWatch ; 127.809 ; 127.809 ; restrictionTimer ; 1196.92 ; 14.249 ; preSmoothTimer ; 3959.89 ; 47.1415 ; upResidualTimer ; 2111.23 ; 25.1336 ; postSmoothTimer ; 3978.76 ; 47.3661 ; commTimer ; 13542.8 ; 14.3158 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 240.645 ; 2.86482 ; setSolutionTimer ; 16.2281 ; 0.193192 ; cycleWatch ; 18155.6 ; 1296.83 ; setupWatch ; 127.773 ; 127.773 ; restrictionTimer ; 1115.6 ; 13.281 ; preSmoothTimer ; 3959.16 ; 47.1328 ; upResidualTimer ; 2181.72 ; 25.9729 ; postSmoothTimer ; 3953 ; 47.0595 ; commTimer ; 13451.1 ; 14.2189 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 229.55 ; 2.73274 ; setSolutionTimer ; 14.981 ; 0.178345 ; cycleWatch ; 18118.4 ; 1294.17 ; setupWatch ; 130.302 ; 130.302 ; restrictionTimer ; 1176.17 ; 14.0021 ; preSmoothTimer ; 3982.6 ; 47.4119 ; upResidualTimer ; 2077.37 ; 24.7306 ; postSmoothTimer ; 3923.98 ; 46.714 ; commTimer ; 13167.8 ; 13.9194 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 227.465 ; 2.70792 ; setSolutionTimer ; 14.3516 ; 0.170852 ; cycleWatch ; 18143.5 ; 1295.97 ; setupWatch ; 127.639 ; 127.639 ; restrictionTimer ; 1128.22 ; 13.4312 ; preSmoothTimer ; 3993.68 ; 47.5438 ; upResidualTimer ; 2051.03 ; 24.417 ; postSmoothTimer ; 3958.3 ; 47.1226 ; commTimer ; 13022.3 ; 13.7656 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.379 ; 2.84975 ; setSolutionTimer ; 17.7096 ; 0.210828 ; cycleWatch ; 18170.7 ; 1297.91 ; setupWatch ; 126.543 ; 126.543 ; restrictionTimer ; 1174.13 ; 13.9777 ; preSmoothTimer ; 3969.24 ; 47.2529 ; upResidualTimer ; 2070.07 ; 24.6437 ; postSmoothTimer ; 3963.06 ; 47.1793 ; commTimer ; 13452.9 ; 14.2208 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 238.701 ; 2.84168 ; setSolutionTimer ; 16.6018 ; 0.19764 ; cycleWatch ; 18200.3 ; 1300.02 ; setupWatch ; 129.383 ; 129.383 ; restrictionTimer ; 1162.54 ; 13.8397 ; preSmoothTimer ; 3952.94 ; 47.0588 ; upResidualTimer ; 2103.95 ; 25.047 ; postSmoothTimer ; 3977.23 ; 47.348 ; commTimer ; 13544 ; 14.3171 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.441 ; 2.85048 ; setSolutionTimer ; 16.2764 ; 0.193766 ; cycleWatch ; 18227 ; 1301.93 ; setupWatch ; 124.202 ; 124.202 ; restrictionTimer ; 1164.29 ; 13.8606 ; preSmoothTimer ; 3980.6 ; 47.3881 ; upResidualTimer ; 2097.81 ; 24.9739 ; postSmoothTimer ; 4011.87 ; 47.7604 ; commTimer ; 13549.4 ; 14.3229 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.906 ; 2.85602 ; setSolutionTimer ; 16.647 ; 0.198178 ; cycleWatch ; 18233.8 ; 1302.41 ; setupWatch ; 129.72 ; 129.72 ; restrictionTimer ; 1170.61 ; 13.9358 ; preSmoothTimer ; 4004.08 ; 47.6676 ; upResidualTimer ; 2074.35 ; 24.6946 ; postSmoothTimer ; 4015.19 ; 47.7999 ; commTimer ; 13563.7 ; 14.338 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.066 ; 2.84602 ; setSolutionTimer ; 16.7837 ; 0.199806 ; cycleWatch ; 18220.6 ; 1301.47 ; setupWatch ; 130.476 ; 130.476 ; restrictionTimer ; 1160.84 ; 13.8195 ; preSmoothTimer ; 4015.28 ; 47.801 ; upResidualTimer ; 2069.61 ; 24.6382 ; postSmoothTimer ; 4003.93 ; 47.6658 ; commTimer ; 13559.4 ; 14.3334 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 238.793 ; 2.84278 ; setSolutionTimer ; 17.4743 ; 0.208028 ; cycleWatch ; 18211.1 ; 1300.79 ; setupWatch ; 125.455 ; 125.455 ; restrictionTimer ; 1158.95 ; 13.797 ; preSmoothTimer ; 3997.91 ; 47.5941 ; upResidualTimer ; 2097.38 ; 24.9688 ; postSmoothTimer ; 4004.87 ; 47.677 ; commTimer ; 13653.1 ; 14.4324 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 237.81 ; 2.83107 ; setSolutionTimer ; 16.2209 ; 0.193106 ; cycleWatch ; 18226.9 ; 1301.92 ; setupWatch ; 127.283 ; 127.283 ; restrictionTimer ; 1154.01 ; 13.7382 ; preSmoothTimer ; 3988.5 ; 47.4822 ; upResidualTimer ; 2124.8 ; 25.2952 ; postSmoothTimer ; 4017.61 ; 47.8287 ; commTimer ; 13636 ; 14.4144 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
