predicted;measured
255,46939215686274;255,245
164,88581045751636;166,997
171,34395833333326;172,497
757,9661450163417;790,322
225,20522222222223;223,943
401,64070833333324;407,302
384,57422222222215;390,005
410,8211638071899;403,654
280,76561274509805;281,028
178,01680882352923;176,429
1115,9854575163408;1118,25
253,903045751634;259,205
444,242068627451;441,841
418,9398325163425;421,819
175,28874999999994;176,876
273,2063970588235;274,729
271,45503513071907;269,348
216,49615686274507;221,142
326,87338480392157;326,653
3460,8473214869273;3590,39
310,0733039215686;317,131
258,57255392156856;256,728
397,26112336601335;395,495
567,2482810457516;567,883
210,9739174836601;216,868
322,33204248366025;326,334
344,75428104575167;350,245
214,84817156862744;215,029
147,60552450980384;148,515
417,1058325163425;436,704
373,21204411764717;369,28
180,21081045751635;180,872
360,1526127450979;359,453
339,57981045751626;345,461
381,93612336601336;375,799
240,14439215686275;240,317
208,90863398692812;213,721
153,37738235294103;152,67
775,1251450163417;776,522
1434,49407883987;1429,75
2788,961137663399;2785,28
239,5574852941175;238,468
210,9234616013071;213,105
158,357487745098;160,052
248,4399705882352;251,349
243,39624468954258;241,359
192,8235980392156;197,433
286,5324950980392;290,927
303,3984509803921;302,801
234,76824509803913;233,694
368,3760829248368;365,929
339,89824999999996;338,504
287,011991013072;288,123
182,50200204248355;189,451
293,44700204248375;297,772
320,89104656862753;321,664
336,66315686274504;336,164
299,7598692810458;304,545
174,22695098039213;172,493
123,86709068627441;125,633
348,38211764705886;345,516
318,66451715686264;318,349
565,7590906862745;567,138
1790,1925163398696;1786,92
3144,1727001633985;3141,23
2449,0745751633985;2446,32
215,33745424836604;214,015
186,0828700980391;185,433
279,92351715686266;279,765
169,1510392156862;174,024
262,9916862745098;267,954
210,96393627450973;210,263
226,06763398692812;226,737
339,49104248366024;339,02
259,1597630718955;258,668
315,1318235294117;314,547
280,4432009803922;281,044
254,7654575163399;260,621
133,60573039215683;133,761
264,5619616013072;270,462
295,69518627450975;295,952
1092,2866413398704;1135,52
323,5521911764706;320,428
202,60366380718952;202,181
265,0249411764705;265,241
273,6851764705881;275,93
193,34180882352922;192,576
271,68699101307203;269,262
524,2709950980391;526,084
1449,8190788398701;1449,29
389,8578692810458;387,015
2804,2861376633987;2804,23
2109,1880126633987;2107,13
187,2786638071895;187,174
242,0261564542485;247,558
148,03031862745092;149,019
145,47848039215677;150,944
239,45087745098033;244,42
256,4485833333332;254,564
187,15962745098034;186,934
181,07322222222223;180,55
310,60600204248374;308,913
290,3653970588235;289,847
388,53704411764716;387,119
403,12506127450985;401,671
251,61505882352918;249,927
388,0238692810458;393,458
139,1920906862744;139,344
341,41381045751626;340,01
240,22676470588226;238,942
174,544873366013;173,514
248,95049999999992;251,632
347,05864705882357;347,896
168,70238235294102;166,661
243,8347630718955;241,562
482,7828995098038;486,267
1109,4456413398702;1104,4
344,8634575163399;341,862
235,52241421568618;233,686
360,17405392156866;365,561
2464,3995751633984;2465,14
523,1162810457516;519,831
1769,3014501633984;1767,85
124,22600980392149;125,467
159,21987336601302;159,326
214,38049101307195;220,131
232,9736495098038;231,69
215,9100686274509;220,744
314,33163398692807;313,25
492,58445751633985;492,759
362,3304656862745;362,889
343,0294575163399;349,363
521,2822810457517;524,842
226,94388235294093;225,805
146,48608292483647;146,709
215,428588235294;214,959
224,21582352941167;226,247
322,2604705882353;323,408
215,982535130719;214,38
144,06295588235287;137,005
441,2948039215685;443,839
277,8183480392156;283,449
263,3506053921568;268,241
769,0722038398708;766,649
319,55283333333335;323,105
211,65223039215675;210,582
