correctionTimer ; 169.39 ; 3.13685 ; setSolutionTimer ; 12.5103 ; 0.231673 ; cycleWatch ; 38547.4 ; 4283.04 ; setupWatch ; 39.9966 ; 39.9966 ; restrictionTimer ; 305.587 ; 5.65902 ; preSmoothTimer ; 18542.8 ; 343.385 ; upResidualTimer ; 597.771 ; 11.0698 ; postSmoothTimer ; 18420.1 ; 341.112 ; commTimer ; 2605.44 ; 3.91207 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 168.069 ; 3.11239 ; setSolutionTimer ; 11.8367 ; 0.219199 ; cycleWatch ; 38662.4 ; 4295.82 ; setupWatch ; 38.9208 ; 38.9208 ; restrictionTimer ; 280.103 ; 5.18709 ; preSmoothTimer ; 18610.6 ; 344.641 ; upResidualTimer ; 556.329 ; 10.3024 ; postSmoothTimer ; 18596 ; 344.37 ; commTimer ; 2222.9 ; 3.33769 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.144 ; 3.20637 ; setSolutionTimer ; 13.2395 ; 0.245175 ; cycleWatch ; 38667.4 ; 4296.38 ; setupWatch ; 37.1337 ; 37.1337 ; restrictionTimer ; 274.551 ; 5.08428 ; preSmoothTimer ; 18587.6 ; 344.215 ; upResidualTimer ; 583.618 ; 10.8077 ; postSmoothTimer ; 18546.1 ; 343.446 ; commTimer ; 2391.31 ; 3.59056 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 175.266 ; 3.24567 ; setSolutionTimer ; 12.9823 ; 0.240412 ; cycleWatch ; 38666.2 ; 4296.24 ; setupWatch ; 39.7918 ; 39.7918 ; restrictionTimer ; 283.872 ; 5.25689 ; preSmoothTimer ; 18580.5 ; 344.083 ; upResidualTimer ; 581.623 ; 10.7708 ; postSmoothTimer ; 18544.2 ; 343.412 ; commTimer ; 2385.09 ; 3.58122 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.349 ; 3.22868 ; setSolutionTimer ; 13.4968 ; 0.249941 ; cycleWatch ; 38625.9 ; 4291.77 ; setupWatch ; 38.4595 ; 38.4595 ; restrictionTimer ; 321.431 ; 5.95243 ; preSmoothTimer ; 18541.9 ; 343.368 ; upResidualTimer ; 582.089 ; 10.7794 ; postSmoothTimer ; 18500.6 ; 342.603 ; commTimer ; 2343.98 ; 3.51949 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.962 ; 3.22153 ; setSolutionTimer ; 12.4927 ; 0.231347 ; cycleWatch ; 38622.3 ; 4291.37 ; setupWatch ; 40.0381 ; 40.0381 ; restrictionTimer ; 277.945 ; 5.14713 ; preSmoothTimer ; 18579.9 ; 344.071 ; upResidualTimer ; 588.602 ; 10.9 ; postSmoothTimer ; 18495.8 ; 342.515 ; commTimer ; 2344.17 ; 3.51978 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.322 ; 3.22819 ; setSolutionTimer ; 13.2273 ; 0.24495 ; cycleWatch ; 38579.1 ; 4286.57 ; setupWatch ; 39.4281 ; 39.4281 ; restrictionTimer ; 318.331 ; 5.89501 ; preSmoothTimer ; 18554.3 ; 343.597 ; upResidualTimer ; 573.043 ; 10.6119 ; postSmoothTimer ; 18470.7 ; 342.05 ; commTimer ; 2296.37 ; 3.448 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.129 ; 3.2061 ; setSolutionTimer ; 12.8369 ; 0.23772 ; cycleWatch ; 38572.3 ; 4285.81 ; setupWatch ; 37.4244 ; 37.4244 ; restrictionTimer ; 283.93 ; 5.25797 ; preSmoothTimer ; 18595.4 ; 344.358 ; upResidualTimer ; 566.696 ; 10.4944 ; postSmoothTimer ; 18470.7 ; 342.051 ; commTimer ; 2303.32 ; 3.45844 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 169.313 ; 3.13542 ; setSolutionTimer ; 12.0617 ; 0.223365 ; cycleWatch ; 38551.8 ; 4283.53 ; setupWatch ; 40.4552 ; 40.4552 ; restrictionTimer ; 296.732 ; 5.49503 ; preSmoothTimer ; 18551 ; 343.537 ; upResidualTimer ; 598.886 ; 11.0905 ; postSmoothTimer ; 18421.1 ; 341.132 ; commTimer ; 2606.6 ; 3.91381 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 168.775 ; 3.12547 ; setSolutionTimer ; 12.0103 ; 0.222413 ; cycleWatch ; 38667.5 ; 4296.39 ; setupWatch ; 39.8184 ; 39.8184 ; restrictionTimer ; 280.559 ; 5.19554 ; preSmoothTimer ; 18613.1 ; 344.686 ; upResidualTimer ; 553.343 ; 10.2471 ; postSmoothTimer ; 18597.7 ; 344.403 ; commTimer ; 2222.12 ; 3.33651 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.673 ; 3.23468 ; setSolutionTimer ; 13.1181 ; 0.242928 ; cycleWatch ; 38669.7 ; 4296.63 ; setupWatch ; 39.7461 ; 39.7461 ; restrictionTimer ; 274.063 ; 5.07524 ; preSmoothTimer ; 18590.4 ; 344.267 ; upResidualTimer ; 581.521 ; 10.7689 ; postSmoothTimer ; 18548.6 ; 343.493 ; commTimer ; 2390.2 ; 3.5889 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 172.676 ; 3.1977 ; setSolutionTimer ; 14.5215 ; 0.268917 ; cycleWatch ; 38668.2 ; 4296.47 ; setupWatch ; 38.8884 ; 38.8884 ; restrictionTimer ; 283.972 ; 5.25875 ; preSmoothTimer ; 18579.1 ; 344.058 ; upResidualTimer ; 581.452 ; 10.7676 ; postSmoothTimer ; 18549.3 ; 343.506 ; commTimer ; 2394.49 ; 3.59533 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.723 ; 3.21708 ; setSolutionTimer ; 12.3935 ; 0.22951 ; cycleWatch ; 38630.3 ; 4292.26 ; setupWatch ; 37.9074 ; 37.9074 ; restrictionTimer ; 317.315 ; 5.87621 ; preSmoothTimer ; 18545.5 ; 343.435 ; upResidualTimer ; 583.756 ; 10.8103 ; postSmoothTimer ; 18505.4 ; 342.692 ; commTimer ; 2355.95 ; 3.53746 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 172.966 ; 3.20308 ; setSolutionTimer ; 13.4967 ; 0.24994 ; cycleWatch ; 38625.9 ; 4291.77 ; setupWatch ; 37.2555 ; 37.2555 ; restrictionTimer ; 277.574 ; 5.14026 ; preSmoothTimer ; 18579.6 ; 344.066 ; upResidualTimer ; 588.288 ; 10.8942 ; postSmoothTimer ; 18501.3 ; 342.617 ; commTimer ; 2349.53 ; 3.52782 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.579 ; 3.21443 ; setSolutionTimer ; 12.4695 ; 0.230917 ; cycleWatch ; 38583.8 ; 4287.08 ; setupWatch ; 38.649 ; 38.649 ; restrictionTimer ; 317.095 ; 5.87213 ; preSmoothTimer ; 18554.5 ; 343.602 ; upResidualTimer ; 574.82 ; 10.6448 ; postSmoothTimer ; 18473.1 ; 342.094 ; commTimer ; 2308.19 ; 3.46575 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.434 ; 3.21175 ; setSolutionTimer ; 13.9573 ; 0.258469 ; cycleWatch ; 38578.1 ; 4286.46 ; setupWatch ; 39.5959 ; 39.5959 ; restrictionTimer ; 283.029 ; 5.24128 ; preSmoothTimer ; 18599.9 ; 344.442 ; upResidualTimer ; 562.063 ; 10.4086 ; postSmoothTimer ; 18472.9 ; 342.09 ; commTimer ; 2301.44 ; 3.45562 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 170.11 ; 3.15018 ; setSolutionTimer ; 13.626 ; 0.252333 ; cycleWatch ; 38554.3 ; 4283.81 ; setupWatch ; 38.8491 ; 38.8491 ; restrictionTimer ; 295.443 ; 5.47116 ; preSmoothTimer ; 18549.1 ; 343.502 ; upResidualTimer ; 600.586 ; 11.122 ; postSmoothTimer ; 18423.5 ; 341.177 ; commTimer ; 2605.39 ; 3.91199 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
