correctionTimer ; 255.813 ; 3.04539 ; setSolutionTimer ; 36.506 ; 0.434595 ; cycleWatch ; 19357.7 ; 1382.69 ; setupWatch ; 131.156 ; 131.156 ; restrictionTimer ; 1299.95 ; 15.4756 ; preSmoothTimer ; 4433.37 ; 52.7782 ; upResidualTimer ; 2329.76 ; 27.7352 ; postSmoothTimer ; 4394.86 ; 52.3198 ; commTimer ; 14748.8 ; 15.5907 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 254.1 ; 3.025 ; setSolutionTimer ; 29.5072 ; 0.351276 ; cycleWatch ; 19354.3 ; 1382.45 ; setupWatch ; 131.995 ; 131.995 ; restrictionTimer ; 1319.85 ; 15.7125 ; preSmoothTimer ; 4430.39 ; 52.7427 ; upResidualTimer ; 2320.03 ; 27.6194 ; postSmoothTimer ; 4394.77 ; 52.3187 ; commTimer ; 14758.4 ; 15.6008 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 252.065 ; 3.00078 ; setSolutionTimer ; 34.7301 ; 0.413454 ; cycleWatch ; 19364.8 ; 1383.2 ; setupWatch ; 127.027 ; 127.027 ; restrictionTimer ; 1297.25 ; 15.4435 ; preSmoothTimer ; 4432.14 ; 52.7636 ; upResidualTimer ; 2341.52 ; 27.8752 ; postSmoothTimer ; 4402.83 ; 52.4146 ; commTimer ; 14800.8 ; 15.6457 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 258.219 ; 3.07403 ; setSolutionTimer ; 34.1469 ; 0.406511 ; cycleWatch ; 19361.3 ; 1382.95 ; setupWatch ; 126.047 ; 126.047 ; restrictionTimer ; 1324.19 ; 15.7642 ; preSmoothTimer ; 4422.17 ; 52.6449 ; upResidualTimer ; 2334.16 ; 27.7876 ; postSmoothTimer ; 4395.1 ; 52.3227 ; commTimer ; 14746.3 ; 15.588 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 253.346 ; 3.01602 ; setSolutionTimer ; 34.2035 ; 0.407185 ; cycleWatch ; 19365.7 ; 1383.27 ; setupWatch ; 125.27 ; 125.27 ; restrictionTimer ; 1298.16 ; 15.4542 ; preSmoothTimer ; 4435.69 ; 52.8058 ; upResidualTimer ; 2338.74 ; 27.8421 ; postSmoothTimer ; 4404.78 ; 52.4379 ; commTimer ; 14825.2 ; 15.6714 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 255.856 ; 3.04591 ; setSolutionTimer ; 33.3993 ; 0.397611 ; cycleWatch ; 19357.7 ; 1382.69 ; setupWatch ; 125.148 ; 125.148 ; restrictionTimer ; 1313.23 ; 15.6337 ; preSmoothTimer ; 4421.45 ; 52.6363 ; upResidualTimer ; 2346.77 ; 27.9377 ; postSmoothTimer ; 4402.89 ; 52.4153 ; commTimer ; 14816.7 ; 15.6625 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 256.324 ; 3.05148 ; setSolutionTimer ; 36.8653 ; 0.438873 ; cycleWatch ; 19373.1 ; 1383.79 ; setupWatch ; 126.69 ; 126.69 ; restrictionTimer ; 1310.71 ; 15.6036 ; preSmoothTimer ; 4424.04 ; 52.6671 ; upResidualTimer ; 2342.45 ; 27.8863 ; postSmoothTimer ; 4407.38 ; 52.4688 ; commTimer ; 14824.1 ; 15.6703 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 252.576 ; 3.00686 ; setSolutionTimer ; 32.4252 ; 0.386014 ; cycleWatch ; 19368.1 ; 1383.43 ; setupWatch ; 126.585 ; 126.585 ; restrictionTimer ; 1306.18 ; 15.5498 ; preSmoothTimer ; 4437.6 ; 52.8286 ; upResidualTimer ; 2339.76 ; 27.8543 ; postSmoothTimer ; 4409.48 ; 52.4938 ; commTimer ; 14854.4 ; 15.7023 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 253.955 ; 3.02328 ; setSolutionTimer ; 30.7608 ; 0.3662 ; cycleWatch ; 19348.5 ; 1382.03 ; setupWatch ; 129.718 ; 129.718 ; restrictionTimer ; 1320.43 ; 15.7194 ; preSmoothTimer ; 4416.33 ; 52.5754 ; upResidualTimer ; 2341.23 ; 27.8718 ; postSmoothTimer ; 4395.5 ; 52.3274 ; commTimer ; 14768.6 ; 15.6116 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 257.06 ; 3.06024 ; setSolutionTimer ; 29.8372 ; 0.355205 ; cycleWatch ; 19349.5 ; 1382.11 ; setupWatch ; 127.348 ; 127.348 ; restrictionTimer ; 1303.52 ; 15.5181 ; preSmoothTimer ; 4435.09 ; 52.7987 ; upResidualTimer ; 2342.81 ; 27.8906 ; postSmoothTimer ; 4391.33 ; 52.2778 ; commTimer ; 14765.2 ; 15.608 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
