correctionTimer ; 130.829 ; 2.7256 ; setSolutionTimer ; 6.50077 ; 0.135433 ; cycleWatch ; 11343.6 ; 1417.95 ; setupWatch ; 93.3287 ; 93.3287 ; restrictionTimer ; 433.396 ; 9.02909 ; preSmoothTimer ; 4349.25 ; 90.6095 ; upResidualTimer ; 733.74 ; 15.2862 ; postSmoothTimer ; 4292.79 ; 89.4332 ; commTimer ; 8779.98 ; 10.5276 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.622 ; 2.74213 ; setSolutionTimer ; 6.54986 ; 0.136455 ; cycleWatch ; 11342 ; 1417.75 ; setupWatch ; 92.7396 ; 92.7396 ; restrictionTimer ; 421.428 ; 8.77975 ; preSmoothTimer ; 4344.26 ; 90.5055 ; upResidualTimer ; 730.734 ; 15.2236 ; postSmoothTimer ; 4290.44 ; 89.3843 ; commTimer ; 8702.55 ; 10.4347 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 132.654 ; 2.76362 ; setSolutionTimer ; 6.31676 ; 0.131599 ; cycleWatch ; 11365.7 ; 1420.72 ; setupWatch ; 92.703 ; 92.703 ; restrictionTimer ; 422.835 ; 8.80906 ; preSmoothTimer ; 4347.6 ; 90.575 ; upResidualTimer ; 729.756 ; 15.2033 ; postSmoothTimer ; 4315.67 ; 89.9097 ; commTimer ; 8636.73 ; 10.3558 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.871 ; 2.74731 ; setSolutionTimer ; 6.72147 ; 0.140031 ; cycleWatch ; 11365.3 ; 1420.66 ; setupWatch ; 92.9786 ; 92.9786 ; restrictionTimer ; 424.689 ; 8.84769 ; preSmoothTimer ; 4349.61 ; 90.6169 ; upResidualTimer ; 734.491 ; 15.3019 ; postSmoothTimer ; 4312.27 ; 89.8389 ; commTimer ; 8690.96 ; 10.4208 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 132.021 ; 2.75044 ; setSolutionTimer ; 6.98034 ; 0.145424 ; cycleWatch ; 11387.3 ; 1423.41 ; setupWatch ; 88.4213 ; 88.4213 ; restrictionTimer ; 425.752 ; 8.86983 ; preSmoothTimer ; 4345.84 ; 90.5384 ; upResidualTimer ; 737.646 ; 15.3676 ; postSmoothTimer ; 4337.6 ; 90.3667 ; commTimer ; 8673.44 ; 10.3998 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.663 ; 2.74297 ; setSolutionTimer ; 6.65638 ; 0.138675 ; cycleWatch ; 11396.9 ; 1424.61 ; setupWatch ; 93.0485 ; 93.0485 ; restrictionTimer ; 427.973 ; 8.9161 ; preSmoothTimer ; 4342.14 ; 90.4612 ; upResidualTimer ; 743.162 ; 15.4825 ; postSmoothTimer ; 4334.98 ; 90.312 ; commTimer ; 8684.85 ; 10.4135 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.762 ; 2.74503 ; setSolutionTimer ; 7.09368 ; 0.147785 ; cycleWatch ; 11398.8 ; 1424.85 ; setupWatch ; 88.4096 ; 88.4096 ; restrictionTimer ; 426.82 ; 8.89208 ; preSmoothTimer ; 4343.69 ; 90.4935 ; upResidualTimer ; 742.471 ; 15.4681 ; postSmoothTimer ; 4335.13 ; 90.3153 ; commTimer ; 8689.27 ; 10.4188 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 133.039 ; 2.77165 ; setSolutionTimer ; 6.26394 ; 0.130499 ; cycleWatch ; 11382.3 ; 1422.78 ; setupWatch ; 93.19 ; 93.19 ; restrictionTimer ; 419.272 ; 8.73483 ; preSmoothTimer ; 4362.55 ; 90.8866 ; upResidualTimer ; 731.615 ; 15.242 ; postSmoothTimer ; 4341.17 ; 90.4411 ; commTimer ; 8646.94 ; 10.368 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.054 ; 2.7303 ; setSolutionTimer ; 6.35134 ; 0.13232 ; cycleWatch ; 11342.2 ; 1417.77 ; setupWatch ; 93.2024 ; 93.2024 ; restrictionTimer ; 431.593 ; 8.99153 ; preSmoothTimer ; 4348.06 ; 90.5845 ; upResidualTimer ; 733.425 ; 15.2797 ; postSmoothTimer ; 4289.73 ; 89.3693 ; commTimer ; 8769.79 ; 10.5153 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.441 ; 2.73836 ; setSolutionTimer ; 6.61781 ; 0.137871 ; cycleWatch ; 11334.6 ; 1416.83 ; setupWatch ; 93.8544 ; 93.8544 ; restrictionTimer ; 419.666 ; 8.74305 ; preSmoothTimer ; 4341.31 ; 90.4439 ; upResidualTimer ; 731.546 ; 15.2405 ; postSmoothTimer ; 4285.34 ; 89.2779 ; commTimer ; 8704.38 ; 10.4369 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
