correctionTimer ; 167.653 ; 3.49278 ; setSolutionTimer ; 5.90839 ; 0.123092 ; cycleWatch ; 5386.43 ; 673.304 ; setupWatch ; 31.8127 ; 31.8127 ; restrictionTimer ; 201.199 ; 4.19165 ; preSmoothTimer ; 2171.71 ; 45.2439 ; upResidualTimer ; 371.468 ; 7.73892 ; postSmoothTimer ; 2135.55 ; 44.4906 ; commTimer ; 1661.1 ; 1.99172 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 166.839 ; 3.47581 ; setSolutionTimer ; 5.90988 ; 0.123123 ; cycleWatch ; 5379.65 ; 672.456 ; setupWatch ; 32.8599 ; 32.8599 ; restrictionTimer ; 197.097 ; 4.10619 ; preSmoothTimer ; 2173.66 ; 45.2845 ; upResidualTimer ; 373.684 ; 7.78508 ; postSmoothTimer ; 2128.08 ; 44.335 ; commTimer ; 1686.48 ; 2.02216 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 169.537 ; 3.53203 ; setSolutionTimer ; 5.95662 ; 0.124096 ; cycleWatch ; 5384.76 ; 673.096 ; setupWatch ; 32.8437 ; 32.8437 ; restrictionTimer ; 199.763 ; 4.16174 ; preSmoothTimer ; 2172.19 ; 45.2539 ; upResidualTimer ; 372.585 ; 7.7622 ; postSmoothTimer ; 2131.84 ; 44.4134 ; commTimer ; 1674.94 ; 2.00832 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 169.595 ; 3.53322 ; setSolutionTimer ; 5.97792 ; 0.12454 ; cycleWatch ; 5389.89 ; 673.736 ; setupWatch ; 32.4475 ; 32.4475 ; restrictionTimer ; 200.309 ; 4.17309 ; preSmoothTimer ; 2170.87 ; 45.2266 ; upResidualTimer ; 373.191 ; 7.7748 ; postSmoothTimer ; 2135.65 ; 44.4927 ; commTimer ; 1650.4 ; 1.97889 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 167.642 ; 3.49254 ; setSolutionTimer ; 5.95357 ; 0.124033 ; cycleWatch ; 5387.87 ; 673.484 ; setupWatch ; 31.8003 ; 31.8003 ; restrictionTimer ; 198.949 ; 4.14476 ; preSmoothTimer ; 2173.33 ; 45.2777 ; upResidualTimer ; 371.984 ; 7.74967 ; postSmoothTimer ; 2137.03 ; 44.5215 ; commTimer ; 1650.24 ; 1.9787 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 166.142 ; 3.46129 ; setSolutionTimer ; 5.8374 ; 0.121612 ; cycleWatch ; 5377.95 ; 672.244 ; setupWatch ; 32.9176 ; 32.9176 ; restrictionTimer ; 197.853 ; 4.12194 ; preSmoothTimer ; 2173.14 ; 45.2737 ; upResidualTimer ; 373.359 ; 7.77832 ; postSmoothTimer ; 2127.19 ; 44.3164 ; commTimer ; 1695.2 ; 2.03261 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 168.783 ; 3.5163 ; setSolutionTimer ; 5.91152 ; 0.123157 ; cycleWatch ; 5383.06 ; 672.883 ; setupWatch ; 32.7903 ; 32.7903 ; restrictionTimer ; 199.857 ; 4.1637 ; preSmoothTimer ; 2172.38 ; 45.2578 ; upResidualTimer ; 372.196 ; 7.75409 ; postSmoothTimer ; 2130.53 ; 44.3861 ; commTimer ; 1684.57 ; 2.01987 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 168.718 ; 3.51496 ; setSolutionTimer ; 5.8532 ; 0.121942 ; cycleWatch ; 5386.76 ; 673.344 ; setupWatch ; 32.6005 ; 32.6005 ; restrictionTimer ; 201.448 ; 4.19683 ; preSmoothTimer ; 2169.9 ; 45.2062 ; upResidualTimer ; 373.026 ; 7.77138 ; postSmoothTimer ; 2133.11 ; 44.4399 ; commTimer ; 1677.54 ; 2.01143 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 166.84 ; 3.47583 ; setSolutionTimer ; 6.02987 ; 0.125622 ; cycleWatch ; 5382.46 ; 672.808 ; setupWatch ; 31.88 ; 31.88 ; restrictionTimer ; 201.31 ; 4.19395 ; preSmoothTimer ; 2170.36 ; 45.2158 ; upResidualTimer ; 372.38 ; 7.75792 ; postSmoothTimer ; 2131.63 ; 44.409 ; commTimer ; 1675.7 ; 2.00924 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 166.125 ; 3.46094 ; setSolutionTimer ; 5.97066 ; 0.124389 ; cycleWatch ; 5386.87 ; 673.359 ; setupWatch ; 32.8228 ; 32.8228 ; restrictionTimer ; 194.382 ; 4.04963 ; preSmoothTimer ; 2175.9 ; 45.3313 ; upResidualTimer ; 373.909 ; 7.78977 ; postSmoothTimer ; 2135.32 ; 44.4859 ; commTimer ; 1686.63 ; 2.02234 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 168.699 ; 3.51456 ; setSolutionTimer ; 5.9961 ; 0.124919 ; cycleWatch ; 5389.39 ; 673.674 ; setupWatch ; 32.7086 ; 32.7086 ; restrictionTimer ; 197.289 ; 4.11018 ; preSmoothTimer ; 2174.22 ; 45.2963 ; upResidualTimer ; 372.779 ; 7.76624 ; postSmoothTimer ; 2136.83 ; 44.5173 ; commTimer ; 1674.37 ; 2.00764 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
