correctionTimer ; 254.863 ; 3.03409 ; setSolutionTimer ; 10.151 ; 0.120846 ; cycleWatch ; 5987.6 ; 427.686 ; setupWatch ; 48.2062 ; 48.2062 ; restrictionTimer ; 326.835 ; 3.89089 ; preSmoothTimer ; 2003.11 ; 23.8466 ; upResidualTimer ; 741.81 ; 8.83107 ; postSmoothTimer ; 1976.22 ; 23.5264 ; commTimer ; 1805.1 ; 1.91421 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 255.095 ; 3.03684 ; setSolutionTimer ; 9.65721 ; 0.114967 ; cycleWatch ; 5986.81 ; 427.629 ; setupWatch ; 48.0998 ; 48.0998 ; restrictionTimer ; 323.144 ; 3.84696 ; preSmoothTimer ; 1994.06 ; 23.7388 ; upResidualTimer ; 755.137 ; 8.98973 ; postSmoothTimer ; 1980.29 ; 23.5749 ; commTimer ; 1833.72 ; 1.94455 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 254.83 ; 3.03368 ; setSolutionTimer ; 10.1083 ; 0.120337 ; cycleWatch ; 5985.61 ; 427.544 ; setupWatch ; 47.5459 ; 47.5459 ; restrictionTimer ; 322.302 ; 3.83693 ; preSmoothTimer ; 2003.18 ; 23.8474 ; upResidualTimer ; 746.295 ; 8.88447 ; postSmoothTimer ; 1984.25 ; 23.6221 ; commTimer ; 1805 ; 1.9141 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 255.016 ; 3.03591 ; setSolutionTimer ; 9.70248 ; 0.115506 ; cycleWatch ; 6000.09 ; 428.578 ; setupWatch ; 48.1967 ; 48.1967 ; restrictionTimer ; 325.47 ; 3.87465 ; preSmoothTimer ; 1935.53 ; 23.0421 ; upResidualTimer ; 811.115 ; 9.65613 ; postSmoothTimer ; 1980.48 ; 23.5771 ; commTimer ; 1929.48 ; 2.04611 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 254.892 ; 3.03442 ; setSolutionTimer ; 10.0788 ; 0.119985 ; cycleWatch ; 5980.49 ; 427.178 ; setupWatch ; 48.1441 ; 48.1441 ; restrictionTimer ; 320.926 ; 3.82054 ; preSmoothTimer ; 2002.84 ; 23.8434 ; upResidualTimer ; 747.868 ; 8.90319 ; postSmoothTimer ; 1962.29 ; 23.3606 ; commTimer ; 1897.27 ; 2.01196 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 255.207 ; 3.03818 ; setSolutionTimer ; 9.42499 ; 0.112202 ; cycleWatch ; 5976.14 ; 426.867 ; setupWatch ; 48.1516 ; 48.1516 ; restrictionTimer ; 340.183 ; 4.0498 ; preSmoothTimer ; 1949.14 ; 23.2041 ; upResidualTimer ; 782.88 ; 9.32 ; postSmoothTimer ; 1956.79 ; 23.2951 ; commTimer ; 2106.24 ; 2.23355 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 254.798 ; 3.03331 ; setSolutionTimer ; 9.91829 ; 0.118075 ; cycleWatch ; 5963.35 ; 425.953 ; setupWatch ; 48.1902 ; 48.1902 ; restrictionTimer ; 316.97 ; 3.77345 ; preSmoothTimer ; 1901.9 ; 22.6417 ; upResidualTimer ; 852.607 ; 10.1501 ; postSmoothTimer ; 1958.77 ; 23.3187 ; commTimer ; 2038.49 ; 2.16171 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 255.077 ; 3.03663 ; setSolutionTimer ; 9.18707 ; 0.10937 ; cycleWatch ; 5957.42 ; 425.53 ; setupWatch ; 48.1919 ; 48.1919 ; restrictionTimer ; 367.283 ; 4.37241 ; preSmoothTimer ; 1969.28 ; 23.4438 ; upResidualTimer ; 735.58 ; 8.75691 ; postSmoothTimer ; 1881.62 ; 22.4003 ; commTimer ; 2391.28 ; 2.53582 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 243.551 ; 2.89941 ; setSolutionTimer ; 8.52088 ; 0.101439 ; cycleWatch ; 5919.2 ; 422.8 ; setupWatch ; 48.2492 ; 48.2492 ; restrictionTimer ; 308.315 ; 3.67042 ; preSmoothTimer ; 2038.31 ; 24.2656 ; upResidualTimer ; 725.835 ; 8.64089 ; postSmoothTimer ; 1810.06 ; 21.5483 ; commTimer ; 2129.52 ; 2.25824 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 243.205 ; 2.89529 ; setSolutionTimer ; 8.70807 ; 0.103668 ; cycleWatch ; 5826.09 ; 416.149 ; setupWatch ; 48.2661 ; 48.2661 ; restrictionTimer ; 356.609 ; 4.24534 ; preSmoothTimer ; 2000.28 ; 23.8129 ; upResidualTimer ; 715.001 ; 8.51191 ; postSmoothTimer ; 1828.67 ; 21.7698 ; commTimer ; 2072.81 ; 2.19811 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
