correctionTimer ; 167.33 ; 3.0987 ; setSolutionTimer ; 29.2133 ; 0.540988 ; cycleWatch ; 17098.9 ; 1899.88 ; setupWatch ; 102.196 ; 102.196 ; restrictionTimer ; 878.833 ; 16.2747 ; preSmoothTimer ; 4587.74 ; 84.9581 ; upResidualTimer ; 1571.4 ; 29.1001 ; postSmoothTimer ; 4598.08 ; 85.1496 ; commTimer ; 13809.6 ; 21.4435 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 171.077 ; 3.1681 ; setSolutionTimer ; 28.7218 ; 0.531886 ; cycleWatch ; 17085.2 ; 1898.35 ; setupWatch ; 99.6789 ; 99.6789 ; restrictionTimer ; 890.306 ; 16.4872 ; preSmoothTimer ; 4559.4 ; 84.4333 ; upResidualTimer ; 1580.6 ; 29.2703 ; postSmoothTimer ; 4577.03 ; 84.7598 ; commTimer ; 13561.6 ; 21.0584 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.144 ; 3.11379 ; setSolutionTimer ; 26.9281 ; 0.498669 ; cycleWatch ; 17092 ; 1899.11 ; setupWatch ; 95.8321 ; 95.8321 ; restrictionTimer ; 891.556 ; 16.5103 ; preSmoothTimer ; 4542.43 ; 84.119 ; upResidualTimer ; 1574.7 ; 29.1612 ; postSmoothTimer ; 4584.54 ; 84.8988 ; commTimer ; 13677.1 ; 21.2377 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.013 ; 3.11134 ; setSolutionTimer ; 25.2119 ; 0.466887 ; cycleWatch ; 17101.9 ; 1900.21 ; setupWatch ; 96.2324 ; 96.2324 ; restrictionTimer ; 892.286 ; 16.5238 ; preSmoothTimer ; 4571.58 ; 84.6589 ; upResidualTimer ; 1561.2 ; 28.9111 ; postSmoothTimer ; 4599.11 ; 85.1686 ; commTimer ; 13831.5 ; 21.4775 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.966 ; 3.11047 ; setSolutionTimer ; 27.1783 ; 0.503303 ; cycleWatch ; 17103.2 ; 1900.36 ; setupWatch ; 98.4738 ; 98.4738 ; restrictionTimer ; 875.149 ; 16.2065 ; preSmoothTimer ; 4589.33 ; 84.9877 ; upResidualTimer ; 1571.21 ; 29.0964 ; postSmoothTimer ; 4600.86 ; 85.201 ; commTimer ; 13809 ; 21.4425 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.985 ; 3.12936 ; setSolutionTimer ; 27.5861 ; 0.510854 ; cycleWatch ; 17087.1 ; 1898.57 ; setupWatch ; 105.437 ; 105.437 ; restrictionTimer ; 894.387 ; 16.5627 ; preSmoothTimer ; 4566.21 ; 84.5594 ; upResidualTimer ; 1567.44 ; 29.0267 ; postSmoothTimer ; 4583.82 ; 84.8856 ; commTimer ; 13529.8 ; 21.009 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.424 ; 3.10044 ; setSolutionTimer ; 30.5052 ; 0.56491 ; cycleWatch ; 17089.1 ; 1898.79 ; setupWatch ; 95.607 ; 95.607 ; restrictionTimer ; 901.649 ; 16.6972 ; preSmoothTimer ; 4541.8 ; 84.1075 ; upResidualTimer ; 1567.26 ; 29.0233 ; postSmoothTimer ; 4579.85 ; 84.8121 ; commTimer ; 13683.8 ; 21.2482 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.009 ; 3.09276 ; setSolutionTimer ; 29.419 ; 0.544796 ; cycleWatch ; 17106 ; 1900.67 ; setupWatch ; 101.968 ; 101.968 ; restrictionTimer ; 880.52 ; 16.3059 ; preSmoothTimer ; 4574.91 ; 84.7205 ; upResidualTimer ; 1566.39 ; 29.0072 ; postSmoothTimer ; 4603.37 ; 85.2475 ; commTimer ; 13844.2 ; 21.4972 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 166.443 ; 3.08228 ; setSolutionTimer ; 27.483 ; 0.508945 ; cycleWatch ; 17104.8 ; 1900.54 ; setupWatch ; 94.9188 ; 94.9188 ; restrictionTimer ; 881.406 ; 16.3223 ; preSmoothTimer ; 4585.84 ; 84.923 ; upResidualTimer ; 1557.54 ; 28.8432 ; postSmoothTimer ; 4602.88 ; 85.2386 ; commTimer ; 13835.8 ; 21.4842 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.907 ; 3.12791 ; setSolutionTimer ; 24.9761 ; 0.462521 ; cycleWatch ; 17085.6 ; 1898.41 ; setupWatch ; 95.7486 ; 95.7486 ; restrictionTimer ; 881.759 ; 16.3289 ; preSmoothTimer ; 4568.49 ; 84.6017 ; upResidualTimer ; 1574.72 ; 29.1616 ; postSmoothTimer ; 4586.27 ; 84.931 ; commTimer ; 13584.6 ; 21.0942 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
