correctionTimer ; 146.757 ; 3.05744 ; setSolutionTimer ; 20.8851 ; 0.435106 ; cycleWatch ; 21824.2 ; 2728.03 ; setupWatch ; 96.1622 ; 96.1622 ; restrictionTimer ; 754.867 ; 15.7264 ; preSmoothTimer ; 7766.77 ; 161.808 ; upResidualTimer ; 1334.45 ; 27.801 ; postSmoothTimer ; 7785.44 ; 162.197 ; commTimer ; 17949.4 ; 21.5221 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 147.735 ; 3.07782 ; setSolutionTimer ; 20.5814 ; 0.428778 ; cycleWatch ; 21828 ; 2728.5 ; setupWatch ; 99.1807 ; 99.1807 ; restrictionTimer ; 763.799 ; 15.9125 ; preSmoothTimer ; 7777.33 ; 162.028 ; upResidualTimer ; 1304.36 ; 27.1741 ; postSmoothTimer ; 7785.01 ; 162.188 ; commTimer ; 17871.5 ; 21.4286 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 146.184 ; 3.04549 ; setSolutionTimer ; 19.4918 ; 0.406078 ; cycleWatch ; 21827.3 ; 2728.41 ; setupWatch ; 97.3919 ; 97.3919 ; restrictionTimer ; 744.975 ; 15.5203 ; preSmoothTimer ; 7782.44 ; 162.134 ; upResidualTimer ; 1326.15 ; 27.6281 ; postSmoothTimer ; 7787.18 ; 162.233 ; commTimer ; 17873.7 ; 21.4313 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.489 ; 3.09351 ; setSolutionTimer ; 21.6497 ; 0.451036 ; cycleWatch ; 21837.7 ; 2729.71 ; setupWatch ; 97.2114 ; 97.2114 ; restrictionTimer ; 749.981 ; 15.6246 ; preSmoothTimer ; 7799.46 ; 162.489 ; upResidualTimer ; 1319 ; 27.4792 ; postSmoothTimer ; 7798.47 ; 162.468 ; commTimer ; 18178 ; 21.7961 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 149.626 ; 3.11722 ; setSolutionTimer ; 21.8 ; 0.454167 ; cycleWatch ; 21844.7 ; 2730.59 ; setupWatch ; 98.4478 ; 98.4478 ; restrictionTimer ; 743.485 ; 15.4893 ; preSmoothTimer ; 7792.49 ; 162.344 ; upResidualTimer ; 1333.91 ; 27.7898 ; postSmoothTimer ; 7792.25 ; 162.339 ; commTimer ; 18156.2 ; 21.77 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 147.903 ; 3.08131 ; setSolutionTimer ; 21.4776 ; 0.447451 ; cycleWatch ; 21838.7 ; 2729.84 ; setupWatch ; 99.7341 ; 99.7341 ; restrictionTimer ; 757.55 ; 15.7823 ; preSmoothTimer ; 7793.66 ; 162.368 ; upResidualTimer ; 1326.34 ; 27.632 ; postSmoothTimer ; 7795.66 ; 162.41 ; commTimer ; 18174.5 ; 21.7919 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.889 ; 3.10186 ; setSolutionTimer ; 23.3343 ; 0.486131 ; cycleWatch ; 21834.5 ; 2729.31 ; setupWatch ; 96.3765 ; 96.3765 ; restrictionTimer ; 733.975 ; 15.2912 ; preSmoothTimer ; 7790.26 ; 162.297 ; upResidualTimer ; 1347.68 ; 28.0767 ; postSmoothTimer ; 7793.73 ; 162.369 ; commTimer ; 18158.5 ; 21.7728 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 145.14 ; 3.02374 ; setSolutionTimer ; 18.7147 ; 0.389889 ; cycleWatch ; 21823.5 ; 2727.94 ; setupWatch ; 95.456 ; 95.456 ; restrictionTimer ; 731.351 ; 15.2365 ; preSmoothTimer ; 7792.24 ; 162.338 ; upResidualTimer ; 1343.85 ; 27.9969 ; postSmoothTimer ; 7786.46 ; 162.218 ; commTimer ; 17999.6 ; 21.5822 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.635 ; 3.09657 ; setSolutionTimer ; 19.4587 ; 0.405391 ; cycleWatch ; 21828.6 ; 2728.57 ; setupWatch ; 101.069 ; 101.069 ; restrictionTimer ; 734.283 ; 15.2976 ; preSmoothTimer ; 7787.5 ; 162.24 ; upResidualTimer ; 1343.93 ; 27.9984 ; postSmoothTimer ; 7786.72 ; 162.223 ; commTimer ; 17980.2 ; 21.559 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 149.527 ; 3.11515 ; setSolutionTimer ; 22.4239 ; 0.467165 ; cycleWatch ; 21831.8 ; 2728.98 ; setupWatch ; 95.0644 ; 95.0644 ; restrictionTimer ; 755.328 ; 15.736 ; preSmoothTimer ; 7775.97 ; 161.999 ; upResidualTimer ; 1316.31 ; 27.423 ; postSmoothTimer ; 7790.13 ; 162.294 ; commTimer ; 17872.5 ; 21.4298 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
