correctionTimer ; 122.997 ; 2.56244 ; setSolutionTimer ; 3.32225 ; 0.0692135 ; cycleWatch ; 4764.99 ; 595.624 ; setupWatch ; 89.0712 ; 89.0712 ; restrictionTimer ; 174.132 ; 3.62776 ; preSmoothTimer ; 1873.15 ; 39.024 ; upResidualTimer ; 331.189 ; 6.89978 ; postSmoothTimer ; 1852.97 ; 38.6036 ; commTimer ; 2434.56 ; 2.91914 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 122.619 ; 2.55456 ; setSolutionTimer ; 3.45085 ; 0.0718927 ; cycleWatch ; 4756.77 ; 594.597 ; setupWatch ; 89.6004 ; 89.6004 ; restrictionTimer ; 180.776 ; 3.76617 ; preSmoothTimer ; 1874.22 ; 39.0462 ; upResidualTimer ; 323.337 ; 6.7362 ; postSmoothTimer ; 1849.36 ; 38.5282 ; commTimer ; 2441.35 ; 2.92728 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.863 ; 2.68464 ; setSolutionTimer ; 3.74924 ; 0.0781091 ; cycleWatch ; 4760.07 ; 595.009 ; setupWatch ; 89.099 ; 89.099 ; restrictionTimer ; 175.279 ; 3.65164 ; preSmoothTimer ; 1877.03 ; 39.1048 ; upResidualTimer ; 325.759 ; 6.78665 ; postSmoothTimer ; 1846.66 ; 38.4721 ; commTimer ; 2416.11 ; 2.89701 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.852 ; 2.68442 ; setSolutionTimer ; 3.75312 ; 0.0781899 ; cycleWatch ; 4758.41 ; 594.801 ; setupWatch ; 88.9001 ; 88.9001 ; restrictionTimer ; 176.691 ; 3.68107 ; preSmoothTimer ; 1874.66 ; 39.0555 ; upResidualTimer ; 327.081 ; 6.81419 ; postSmoothTimer ; 1846 ; 38.4584 ; commTimer ; 2423.59 ; 2.90598 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.832 ; 2.68401 ; setSolutionTimer ; 3.93673 ; 0.0820153 ; cycleWatch ; 4757.43 ; 594.678 ; setupWatch ; 89.0468 ; 89.0468 ; restrictionTimer ; 178.712 ; 3.72318 ; preSmoothTimer ; 1873.08 ; 39.0224 ; upResidualTimer ; 326.386 ; 6.79971 ; postSmoothTimer ; 1845.74 ; 38.4529 ; commTimer ; 2417.11 ; 2.89822 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.837 ; 2.6841 ; setSolutionTimer ; 4.02605 ; 0.083876 ; cycleWatch ; 4758.73 ; 594.841 ; setupWatch ; 89.5515 ; 89.5515 ; restrictionTimer ; 176.803 ; 3.68339 ; preSmoothTimer ; 1877.92 ; 39.1234 ; upResidualTimer ; 323.514 ; 6.73988 ; postSmoothTimer ; 1845.47 ; 38.4473 ; commTimer ; 2422.41 ; 2.90457 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.918 ; 2.68579 ; setSolutionTimer ; 3.73048 ; 0.0777183 ; cycleWatch ; 4761.43 ; 595.179 ; setupWatch ; 89.5467 ; 89.5467 ; restrictionTimer ; 176.423 ; 3.67549 ; preSmoothTimer ; 1875.46 ; 39.0722 ; upResidualTimer ; 326.495 ; 6.80197 ; postSmoothTimer ; 1847.57 ; 38.491 ; commTimer ; 2427.44 ; 2.9106 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.886 ; 2.68512 ; setSolutionTimer ; 3.74144 ; 0.0779467 ; cycleWatch ; 4763.65 ; 595.456 ; setupWatch ; 89.0051 ; 89.0051 ; restrictionTimer ; 175.977 ; 3.66619 ; preSmoothTimer ; 1875.01 ; 39.0628 ; upResidualTimer ; 327.626 ; 6.82553 ; postSmoothTimer ; 1849.43 ; 38.5297 ; commTimer ; 2426.62 ; 2.90961 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.897 ; 2.68536 ; setSolutionTimer ; 3.87636 ; 0.0807576 ; cycleWatch ; 4765.67 ; 595.708 ; setupWatch ; 89.8045 ; 89.8045 ; restrictionTimer ; 175.768 ; 3.66183 ; preSmoothTimer ; 1873.04 ; 39.0216 ; upResidualTimer ; 329.524 ; 6.86509 ; postSmoothTimer ; 1851.73 ; 38.5777 ; commTimer ; 2432.66 ; 2.91685 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
correctionTimer ; 128.869 ; 2.68478 ; setSolutionTimer ; 3.8819 ; 0.0808729 ; cycleWatch ; 4766.44 ; 595.805 ; setupWatch ; 89.8479 ; 89.8479 ; restrictionTimer ; 176.669 ; 3.6806 ; preSmoothTimer ; 1873.02 ; 39.0213 ; upResidualTimer ; 328.588 ; 6.84558 ; postSmoothTimer ; 1853.33 ; 38.611 ; commTimer ; 2429.6 ; 2.91319 ; timeToSolveWatch ; 4879.1 ; 4879.1 ;
