correctionTimer ; 270.418 ; 3.21926 ; setSolutionTimer ; 52.0081 ; 0.619144 ; cycleWatch ; 21578.3 ; 1541.31 ; setupWatch ; 125.535 ; 125.535 ; restrictionTimer ; 1432.39 ; 17.0523 ; preSmoothTimer ; 4806.95 ; 57.2255 ; upResidualTimer ; 2592.28 ; 30.8605 ; postSmoothTimer ; 4808.33 ; 57.242 ; commTimer ; 16226.7 ; 17.153 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 266.752 ; 3.17562 ; setSolutionTimer ; 50.431 ; 0.60037 ; cycleWatch ; 21588.5 ; 1542.04 ; setupWatch ; 124.077 ; 124.077 ; restrictionTimer ; 1444.52 ; 17.1966 ; preSmoothTimer ; 4812.21 ; 57.2883 ; upResidualTimer ; 2593.69 ; 30.8773 ; postSmoothTimer ; 4828.88 ; 57.4866 ; commTimer ; 16470.2 ; 17.4104 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 269.444 ; 3.20767 ; setSolutionTimer ; 47.1446 ; 0.561245 ; cycleWatch ; 21574.2 ; 1541.01 ; setupWatch ; 127.457 ; 127.457 ; restrictionTimer ; 1426.17 ; 16.9783 ; preSmoothTimer ; 4832.32 ; 57.5276 ; upResidualTimer ; 2592.18 ; 30.8593 ; postSmoothTimer ; 4808.34 ; 57.2421 ; commTimer ; 16450.6 ; 17.3896 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 268.345 ; 3.19458 ; setSolutionTimer ; 51.0917 ; 0.608235 ; cycleWatch ; 21521.6 ; 1537.25 ; setupWatch ; 127.209 ; 127.209 ; restrictionTimer ; 1443.41 ; 17.1834 ; preSmoothTimer ; 4813.32 ; 57.3015 ; upResidualTimer ; 2577.7 ; 30.6869 ; postSmoothTimer ; 4765.16 ; 56.728 ; commTimer ; 16142.1 ; 17.0635 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 270.343 ; 3.21836 ; setSolutionTimer ; 49.183 ; 0.585512 ; cycleWatch ; 21576.7 ; 1541.19 ; setupWatch ; 123.468 ; 123.468 ; restrictionTimer ; 1469.96 ; 17.4996 ; preSmoothTimer ; 4810.21 ; 57.2644 ; upResidualTimer ; 2555.15 ; 30.4185 ; postSmoothTimer ; 4818.94 ; 57.3684 ; commTimer ; 16219.5 ; 17.1453 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 271.864 ; 3.23648 ; setSolutionTimer ; 49.1063 ; 0.584599 ; cycleWatch ; 21587.4 ; 1541.96 ; setupWatch ; 123.654 ; 123.654 ; restrictionTimer ; 1460.76 ; 17.39 ; preSmoothTimer ; 4829.85 ; 57.4982 ; upResidualTimer ; 2557.35 ; 30.4447 ; postSmoothTimer ; 4826.14 ; 57.454 ; commTimer ; 16450.8 ; 17.3898 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 269.924 ; 3.21338 ; setSolutionTimer ; 46.3255 ; 0.551494 ; cycleWatch ; 21563.1 ; 1540.22 ; setupWatch ; 126.982 ; 126.982 ; restrictionTimer ; 1447.34 ; 17.2303 ; preSmoothTimer ; 4820.61 ; 57.3882 ; upResidualTimer ; 2580.05 ; 30.7148 ; postSmoothTimer ; 4799.52 ; 57.1372 ; commTimer ; 16488.2 ; 17.4294 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 263.95 ; 3.14227 ; setSolutionTimer ; 47.2656 ; 0.562686 ; cycleWatch ; 21525.7 ; 1537.55 ; setupWatch ; 124.463 ; 124.463 ; restrictionTimer ; 1440.46 ; 17.1483 ; preSmoothTimer ; 4805.97 ; 57.2139 ; upResidualTimer ; 2590.74 ; 30.8421 ; postSmoothTimer ; 4770.65 ; 56.7935 ; commTimer ; 16135.4 ; 17.0565 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 267.122 ; 3.18002 ; setSolutionTimer ; 48.8307 ; 0.581318 ; cycleWatch ; 21548.1 ; 1539.15 ; setupWatch ; 125.287 ; 125.287 ; restrictionTimer ; 1436.51 ; 17.1013 ; preSmoothTimer ; 4842.18 ; 57.645 ; upResidualTimer ; 2554.21 ; 30.4073 ; postSmoothTimer ; 4794.7 ; 57.0798 ; commTimer ; 16234.3 ; 17.161 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 269.441 ; 3.20763 ; setSolutionTimer ; 53.188 ; 0.633191 ; cycleWatch ; 21555.3 ; 1539.66 ; setupWatch ; 126.58 ; 126.58 ; restrictionTimer ; 1440.54 ; 17.1492 ; preSmoothTimer ; 4855.88 ; 57.8081 ; upResidualTimer ; 2546.69 ; 30.3178 ; postSmoothTimer ; 4801.94 ; 57.1659 ; commTimer ; 16458.6 ; 17.3981 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
