correctionTimer ; 147.849 ; 3.08018 ; setSolutionTimer ; 18.0756 ; 0.376575 ; cycleWatch ; 19200.8 ; 2400.1 ; setupWatch ; 95.2562 ; 95.2562 ; restrictionTimer ; 611.59 ; 12.7415 ; preSmoothTimer ; 6812.13 ; 141.919 ; upResidualTimer ; 1159.23 ; 24.1507 ; postSmoothTimer ; 6804.22 ; 141.755 ; commTimer ; 15281.4 ; 18.323 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 149.988 ; 3.12474 ; setSolutionTimer ; 20.6781 ; 0.430793 ; cycleWatch ; 19203 ; 2400.38 ; setupWatch ; 95.4697 ; 95.4697 ; restrictionTimer ; 638.284 ; 13.2976 ; preSmoothTimer ; 6764.09 ; 140.918 ; upResidualTimer ; 1144.78 ; 23.8495 ; postSmoothTimer ; 6799.77 ; 141.662 ; commTimer ; 15140.9 ; 18.1545 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.931 ; 3.10273 ; setSolutionTimer ; 19.8207 ; 0.412931 ; cycleWatch ; 19217.8 ; 2402.23 ; setupWatch ; 98.1252 ; 98.1252 ; restrictionTimer ; 641.267 ; 13.3597 ; preSmoothTimer ; 6774.76 ; 141.141 ; upResidualTimer ; 1150.73 ; 23.9736 ; postSmoothTimer ; 6818.85 ; 142.059 ; commTimer ; 15362 ; 18.4196 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.04 ; 3.08417 ; setSolutionTimer ; 20.4051 ; 0.425106 ; cycleWatch ; 19235.4 ; 2404.43 ; setupWatch ; 96.3857 ; 96.3857 ; restrictionTimer ; 637.595 ; 13.2832 ; preSmoothTimer ; 6776.39 ; 141.175 ; upResidualTimer ; 1157.08 ; 24.1059 ; postSmoothTimer ; 6835.47 ; 142.406 ; commTimer ; 15394.1 ; 18.4582 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 146.915 ; 3.06072 ; setSolutionTimer ; 20.7143 ; 0.431548 ; cycleWatch ; 19235.5 ; 2404.44 ; setupWatch ; 98.5132 ; 98.5132 ; restrictionTimer ; 658.571 ; 13.7202 ; preSmoothTimer ; 6768.03 ; 141.001 ; upResidualTimer ; 1156.93 ; 24.1027 ; postSmoothTimer ; 6834.31 ; 142.381 ; commTimer ; 15414.6 ; 18.4827 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 147.23 ; 3.06729 ; setSolutionTimer ; 22.1407 ; 0.461264 ; cycleWatch ; 19245.4 ; 2405.68 ; setupWatch ; 94.6183 ; 94.6183 ; restrictionTimer ; 631.682 ; 13.16 ; preSmoothTimer ; 6805.28 ; 141.777 ; upResidualTimer ; 1155.48 ; 24.0725 ; postSmoothTimer ; 6850.55 ; 142.72 ; commTimer ; 15401.7 ; 18.4673 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 147.087 ; 3.06432 ; setSolutionTimer ; 20.2445 ; 0.42176 ; cycleWatch ; 19237.3 ; 2404.66 ; setupWatch ; 94.4899 ; 94.4899 ; restrictionTimer ; 652.535 ; 13.5945 ; preSmoothTimer ; 6812.13 ; 141.919 ; upResidualTimer ; 1134.61 ; 23.6376 ; postSmoothTimer ; 6843.63 ; 142.576 ; commTimer ; 15376 ; 18.4365 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 151.327 ; 3.15264 ; setSolutionTimer ; 18.8307 ; 0.392307 ; cycleWatch ; 19228.5 ; 2403.56 ; setupWatch ; 99.1702 ; 99.1702 ; restrictionTimer ; 613.334 ; 12.7778 ; preSmoothTimer ; 6833.83 ; 142.372 ; upResidualTimer ; 1155.37 ; 24.0703 ; postSmoothTimer ; 6823.39 ; 142.154 ; commTimer ; 15401.3 ; 18.4668 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.857 ; 3.10118 ; setSolutionTimer ; 21.1655 ; 0.440948 ; cycleWatch ; 19202.9 ; 2400.37 ; setupWatch ; 99.0848 ; 99.0848 ; restrictionTimer ; 611.297 ; 12.7353 ; preSmoothTimer ; 6814.91 ; 141.977 ; upResidualTimer ; 1163.87 ; 24.2473 ; postSmoothTimer ; 6805.12 ; 141.773 ; commTimer ; 15255.3 ; 18.2918 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 148.035 ; 3.08407 ; setSolutionTimer ; 21.5414 ; 0.448778 ; cycleWatch ; 19207.7 ; 2400.96 ; setupWatch ; 95.8174 ; 95.8174 ; restrictionTimer ; 639.415 ; 13.3211 ; preSmoothTimer ; 6762.1 ; 140.877 ; upResidualTimer ; 1143.45 ; 23.8218 ; postSmoothTimer ; 6803.93 ; 141.749 ; commTimer ; 15127.4 ; 18.1383 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
