correctionTimer ; 189.342 ; 3.50634 ; setSolutionTimer ; 5.19293 ; 0.0961653 ; cycleWatch ; 10814.7 ; 1201.63 ; setupWatch ; 31.4047 ; 31.4047 ; restrictionTimer ; 183.177 ; 3.39217 ; preSmoothTimer ; 4846.77 ; 89.7549 ; upResidualTimer ; 401.271 ; 7.43094 ; postSmoothTimer ; 4815.74 ; 89.1804 ; commTimer ; 954.037 ; 1.4368 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 187.413 ; 3.4706 ; setSolutionTimer ; 4.95771 ; 0.0918094 ; cycleWatch ; 10817.2 ; 1201.91 ; setupWatch ; 33.2258 ; 33.2258 ; restrictionTimer ; 189.239 ; 3.50443 ; preSmoothTimer ; 4843 ; 89.6853 ; upResidualTimer ; 399.068 ; 7.39014 ; postSmoothTimer ; 4820.97 ; 89.2773 ; commTimer ; 953.212 ; 1.43556 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 185.21 ; 3.42982 ; setSolutionTimer ; 5.19855 ; 0.0962694 ; cycleWatch ; 10807.4 ; 1200.82 ; setupWatch ; 32.6033 ; 32.6033 ; restrictionTimer ; 184.29 ; 3.41277 ; preSmoothTimer ; 4833.1 ; 89.5018 ; upResidualTimer ; 413.481 ; 7.65706 ; postSmoothTimer ; 4797.76 ; 88.8474 ; commTimer ; 1041.09 ; 1.5679 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 188.599 ; 3.49257 ; setSolutionTimer ; 5.14571 ; 0.095291 ; cycleWatch ; 10817 ; 1201.88 ; setupWatch ; 32.6247 ; 32.6247 ; restrictionTimer ; 194.411 ; 3.6002 ; preSmoothTimer ; 4831.68 ; 89.4756 ; upResidualTimer ; 404.952 ; 7.49911 ; postSmoothTimer ; 4811.71 ; 89.1058 ; commTimer ; 994.682 ; 1.49801 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 188.436 ; 3.48955 ; setSolutionTimer ; 5.15354 ; 0.0954359 ; cycleWatch ; 10812.8 ; 1201.42 ; setupWatch ; 29.9604 ; 29.9604 ; restrictionTimer ; 182.89 ; 3.38685 ; preSmoothTimer ; 4841.01 ; 89.6483 ; upResidualTimer ; 407.16 ; 7.54 ; postSmoothTimer ; 4810.53 ; 89.084 ; commTimer ; 997.63 ; 1.50245 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 186.521 ; 3.45409 ; setSolutionTimer ; 4.94892 ; 0.0916466 ; cycleWatch ; 10816 ; 1201.77 ; setupWatch ; 33.2721 ; 33.2721 ; restrictionTimer ; 189.033 ; 3.50062 ; preSmoothTimer ; 4836.98 ; 89.5737 ; upResidualTimer ; 405.142 ; 7.50262 ; postSmoothTimer ; 4815.76 ; 89.1808 ; commTimer ; 990.653 ; 1.49195 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 185.274 ; 3.431 ; setSolutionTimer ; 5.30003 ; 0.0981487 ; cycleWatch ; 10810.7 ; 1201.19 ; setupWatch ; 31.3179 ; 31.3179 ; restrictionTimer ; 183.599 ; 3.39998 ; preSmoothTimer ; 4836.13 ; 89.558 ; upResidualTimer ; 411.123 ; 7.61339 ; postSmoothTimer ; 4801.05 ; 88.9083 ; commTimer ; 1045.78 ; 1.57497 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 188.532 ; 3.49134 ; setSolutionTimer ; 5.11093 ; 0.0946468 ; cycleWatch ; 10820.7 ; 1202.3 ; setupWatch ; 32.5309 ; 32.5309 ; restrictionTimer ; 196.361 ; 3.63632 ; preSmoothTimer ; 4831.72 ; 89.4763 ; upResidualTimer ; 403.12 ; 7.46518 ; postSmoothTimer ; 4815.69 ; 89.1794 ; commTimer ; 997.372 ; 1.50207 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 188.5 ; 3.49073 ; setSolutionTimer ; 5.12048 ; 0.0948237 ; cycleWatch ; 10816.3 ; 1201.81 ; setupWatch ; 31.2984 ; 31.2984 ; restrictionTimer ; 182.959 ; 3.38814 ; preSmoothTimer ; 4843.71 ; 89.6983 ; upResidualTimer ; 404.544 ; 7.49156 ; postSmoothTimer ; 4812.64 ; 89.1229 ; commTimer ; 994.704 ; 1.49805 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 186.505 ; 3.4538 ; setSolutionTimer ; 4.91383 ; 0.0909968 ; cycleWatch ; 10818.5 ; 1202.06 ; setupWatch ; 33.1933 ; 33.1933 ; restrictionTimer ; 189.295 ; 3.50547 ; preSmoothTimer ; 4838.73 ; 89.6061 ; upResidualTimer ; 403.271 ; 7.46798 ; postSmoothTimer ; 4818.24 ; 89.2267 ; commTimer ; 991.985 ; 1.49395 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
