correctionTimer ; 180.446 ; 3.34159 ; setSolutionTimer ; 13.7941 ; 0.255447 ; cycleWatch ; 37187.9 ; 4131.99 ; setupWatch ; 41.049 ; 41.049 ; restrictionTimer ; 297.63 ; 5.51166 ; preSmoothTimer ; 17800.2 ; 329.633 ; upResidualTimer ; 604.473 ; 11.1939 ; postSmoothTimer ; 17783 ; 329.314 ; commTimer ; 2387.34 ; 3.58999 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.1 ; 3.31667 ; setSolutionTimer ; 13.5879 ; 0.251628 ; cycleWatch ; 37182.8 ; 4131.42 ; setupWatch ; 39.9168 ; 39.9168 ; restrictionTimer ; 293.607 ; 5.43717 ; preSmoothTimer ; 17803.4 ; 329.692 ; upResidualTimer ; 605.541 ; 11.2137 ; postSmoothTimer ; 17777.5 ; 329.214 ; commTimer ; 2384.58 ; 3.58583 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 181.127 ; 3.3542 ; setSolutionTimer ; 14.0235 ; 0.259695 ; cycleWatch ; 37183.1 ; 4131.46 ; setupWatch ; 39.8699 ; 39.8699 ; restrictionTimer ; 294.211 ; 5.44835 ; preSmoothTimer ; 17803.7 ; 329.698 ; upResidualTimer ; 604.202 ; 11.1889 ; postSmoothTimer ; 17774.6 ; 329.159 ; commTimer ; 2379.87 ; 3.57875 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 182.428 ; 3.3783 ; setSolutionTimer ; 13.3728 ; 0.247645 ; cycleWatch ; 37187.4 ; 4131.94 ; setupWatch ; 41.1166 ; 41.1166 ; restrictionTimer ; 295.689 ; 5.47573 ; preSmoothTimer ; 17795.8 ; 329.553 ; upResidualTimer ; 611.185 ; 11.3182 ; postSmoothTimer ; 17776.3 ; 329.19 ; commTimer ; 2382.06 ; 3.58205 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.734 ; 3.3284 ; setSolutionTimer ; 12.5734 ; 0.232841 ; cycleWatch ; 37196 ; 4132.89 ; setupWatch ; 40.3147 ; 40.3147 ; restrictionTimer ; 294.855 ; 5.46027 ; preSmoothTimer ; 17797.9 ; 329.591 ; upResidualTimer ; 610.714 ; 11.3095 ; postSmoothTimer ; 17786.5 ; 329.379 ; commTimer ; 2399.25 ; 3.60789 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.084 ; 3.31636 ; setSolutionTimer ; 12.6777 ; 0.234772 ; cycleWatch ; 37204.6 ; 4133.84 ; setupWatch ; 37.7338 ; 37.7338 ; restrictionTimer ; 292.584 ; 5.41823 ; preSmoothTimer ; 17803.1 ; 329.687 ; upResidualTimer ; 607.69 ; 11.2535 ; postSmoothTimer ; 17796.6 ; 329.567 ; commTimer ; 2409.97 ; 3.62401 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 170.267 ; 3.1531 ; setSolutionTimer ; 12.7677 ; 0.236439 ; cycleWatch ; 37177.5 ; 4130.83 ; setupWatch ; 40.7592 ; 40.7592 ; restrictionTimer ; 291.643 ; 5.4008 ; preSmoothTimer ; 17713.9 ; 328.035 ; upResidualTimer ; 697.59 ; 12.9183 ; postSmoothTimer ; 17717.2 ; 328.096 ; commTimer ; 2931.75 ; 4.40865 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 170.806 ; 3.16307 ; setSolutionTimer ; 14.8263 ; 0.27456 ; cycleWatch ; 37163.7 ; 4129.3 ; setupWatch ; 37.5729 ; 37.5729 ; restrictionTimer ; 293.019 ; 5.42629 ; preSmoothTimer ; 17613.5 ; 326.175 ; upResidualTimer ; 794.256 ; 14.7085 ; postSmoothTimer ; 17600.5 ; 325.935 ; commTimer ; 3472.13 ; 5.22125 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.401 ; 3.34076 ; setSolutionTimer ; 15.3093 ; 0.283505 ; cycleWatch ; 37186.2 ; 4131.8 ; setupWatch ; 39.3613 ; 39.3613 ; restrictionTimer ; 296.005 ; 5.48158 ; preSmoothTimer ; 17798.1 ; 329.595 ; upResidualTimer ; 606.333 ; 11.2284 ; postSmoothTimer ; 17782.2 ; 329.299 ; commTimer ; 2386.24 ; 3.58833 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 181.191 ; 3.35539 ; setSolutionTimer ; 14.3486 ; 0.265714 ; cycleWatch ; 37182.1 ; 4131.34 ; setupWatch ; 40.847 ; 40.847 ; restrictionTimer ; 294.028 ; 5.44497 ; preSmoothTimer ; 17799.9 ; 329.627 ; upResidualTimer ; 607.482 ; 11.2497 ; postSmoothTimer ; 17776.9 ; 329.202 ; commTimer ; 2378.53 ; 3.57674 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.231 ; 3.33761 ; setSolutionTimer ; 13.4528 ; 0.249126 ; cycleWatch ; 37182.1 ; 4131.35 ; setupWatch ; 37.9785 ; 37.9785 ; restrictionTimer ; 288.392 ; 5.3406 ; preSmoothTimer ; 17806.6 ; 329.751 ; upResidualTimer ; 607.379 ; 11.2478 ; postSmoothTimer ; 17776.2 ; 329.188 ; commTimer ; 2381.97 ; 3.58191 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
